SMILES,type,EO,PO,CMC,AW_ST_CMC,Gamma_max,Area_min,Pi_CMC,pC20,source
CCCCCCCC(=O)N(C)CC(O)C(O)C(O)C(O)CO,nonionic,0,0,0.06900000004174447,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=4.83884909 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCC(=O)OCC1OC(OCC2OC(OC3(CO)OC(CO)C(O)C3O)C(O)C(O)C2O)C(O)C(O)C1O,nonionic,0,0,0.0009499999993681583,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=2.9777236 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCC(=O)OCC1OC(OCC2OC(OCC3OC(OC4(CO)OC(CO)C(O)C4O)C(O)C(O)C3O)C(O)C(O)C2O)C(O)C(O)C1O,nonionic,0,0,0.0022999999999068293,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=3.36172784 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCC(=O)OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O,nonionic,0,0,0.00046000000033727335,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=2.66275783 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCSCC(O)C(O)C(O)CO,nonionic,0,0,0.00039999999969793544,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=2.60205999 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCSC1OC(=O)C(O)C1O,nonionic,0,0,3.300000000927876e-05,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=1.51851394 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCSCC(O)C(O)C(O)CO,nonionic,0,0,0.01199999999868408,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=4.07918125 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCSC1OC(=O)C(O)C1O,nonionic,0,0,0.006700000004615447,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=3.8260748 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCSCC(O)C(O)C(O)CO,nonionic,0,0,0.001199999999868408,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=3.07918125 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCSC1OC(=O)C(O)C1O,nonionic,0,0,0.0004799999995848857,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=2.68124124 converted to mol/L; https://github.com/sandialabs/P2SURF
